continent,country,last_updated_day,gust_mph,visibility_km,uv_index,air_quality_Ozone
Europe,Greece,2023-09-02,5.8,10.0,1,34.7
Europe,Greece,2023-09-03,15.0,10.0,1,108.7
Europe,Greece,2023-09-04,12.1,10.0,1,77.3
Europe,Greece,2023-09-05,9.6,10.0,1,83.7
Europe,Greece,2023-09-06,8.5,10.0,1,72.2
Europe,Greece,2023-09-07,11.9,7.0,1,80.1
Europe,Greece,2023-09-08,17.7,10.0,1,79.4
Europe,Malta,2023-08-29,19.0,10.0,7,83.0
Europe,Malta,2023-08-30,17.7,10.0,1,88.7
Europe,Malta,2023-08-31,7.4,10.0,1,80.8
Europe,Malta,2023-09-01,11.4,10.0,1,91.6
Europe,Malta,2023-09-02,9.8,10.0,1,91.6
Europe,Malta,2023-09-03,12.3,10.0,1,78.0
Europe,Malta,2023-09-04,7.8,10.0,1,97.3
Europe,Malta,2023-09-05,21.5,10.0,1,97.3
Europe,Malta,2023-09-06,35.8,10.0,1,93.0
Europe,Malta,2023-09-07,36.7,10.0,1,85.1
Europe,Malta,2023-09-08,29.1,10.0,1,98.7
Europe,San Marino,2023-08-29,12.3,10.0,6,65.8
Europe,San Marino,2023-08-30,20.1,10.0,1,54.4
Europe,San Marino,2023-08-31,9.2,10.0,1,67.2
Europe,San Marino,2023-09-01,11.4,10.0,1,78.0
Europe,San Marino,2023-09-02,8.5,10.0,1,100.1
Europe,San Marino,2023-09-03,4.7,10.0,1,127.3
Europe,San Marino,2023-09-04,4.5,10.0,1,134.5
Europe,San Marino,2023-09-05,25.3,10.0,1,114.4
Europe,San Marino,2023-09-06,7.6,10.0,1,87.3
Europe,San Marino,2023-09-07,15.0,10.0,1,84.4
Europe,San Marino,2023-09-08,15.4,10.0,1,88.7
