country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Brazil,America,E,4.0,6.45,42.0,7.5,0.0,0.0,1008.0,29.77,10.0,6.0,1.0,8.4,13.5
Brazil,America,ENE,3.6999999999999997,5.95,31.25,12.25,0.0,0.0,1007.5,29.75,10.0,6.0,1.0,7.85,12.600000000000001
Brazil,America,ESE,2.55,4.15,30.0,15.5,0.0,0.0,1006.5,29.725,10.0,6.0,1.0,5.35,8.649999999999999
Brazil,America,NE,3.7,5.95,37.5,10.5,0.0,0.0,1009.0,29.795,10.0,6.0,1.0,7.35,11.899999999999999
Brazil,America,NNE,2.2,3.6,39.0,18.0,0.0,0.0,1008.0,29.75,10.0,6.0,1.0,2.9,4.7
Brazil,America,SE,2.5,4.0,33.0,24.0,0.0,0.0,1008.0,29.77,10.0,6.0,1.0,5.1,8.3
Brunei Darussalam,Asia,S,4.949999999999999,7.9,97.0,75.0,0.6,0.025,1011.0,29.854999999999997,8.5,5.0,5.5,5.1,8.3
Brunei Darussalam,Asia,SSE,3.15,5.05,97.0,75.0,0.75,0.03,1010.5,29.84,9.5,5.5,5.0,9.15,14.75
Brunei Darussalam,Asia,SSW,3.4,5.4,100.0,75.0,0.05,0.0,1009.0,29.799999999999997,9.0,5.0,6.5,3.1,5.0
Brunei Darussalam,Asia,SW,3.7249999999999996,5.925,98.5,75.0,0.075,0.0025,1009.25,29.807499999999997,9.75,5.75,5.25,6.200000000000001,10.0
Brunei Darussalam,Asia,W,6.9,11.2,79.0,75.0,0.4,0.02,1006.0,29.71,10.0,6.0,6.0,11.4,18.4
Brunei Darussalam,Asia,WSW,8.1,13.0,75.0,75.0,0.0,0.0,1010.0,29.83,10.0,6.0,8.0,4.0,6.5
Bulgaria,Europe,E,6.45,10.383333333333335,68.66666666666667,31.166666666666668,0.016666666666666666,0.0,1018.8333333333334,30.08666666666667,10.0,6.0,1.8333333333333333,7.599999999999999,12.216666666666667
Bulgaria,Europe,ENE,5.260000000000001,8.42,46.0,25.8,0.0,0.0,1020.6,30.136000000000003,10.0,6.0,1.0,10.52,16.9
Bulgaria,Europe,ESE,4.3,6.8,54.0,7.0,0.0,0.0,1020.0,30.13,10.0,6.0,1.0,8.9,14.4
Bulgaria,Europe,N,2.2,3.6,80.0,62.5,0.0,0.0,1017.75,30.052500000000002,10.0,6.0,1.0,3.9250000000000003,6.300000000000001
Bulgaria,Europe,NE,2.2,3.6,94.0,100.0,2.5,0.1,1018.0,30.06,10.0,6.0,1.0,7.4,11.9
Bulgaria,Europe,NNW,4.3,6.8,88.0,75.0,0.5,0.02,1007.0,29.74,10.0,6.0,1.0,2.5,4.0
Bulgaria,Europe,NW,3.45,5.55,61.0,40.5,0.0,0.0,1020.0,30.125,10.0,6.0,1.0,4.7,7.550000000000001
Bulgaria,Europe,S,2.7,4.3,69.0,13.0,0.0,0.0,1008.0,29.75,10.0,6.0,1.0,5.6,9.0
Bulgaria,Europe,SE,4.3999999999999995,7.1000000000000005,54.333333333333336,29.333333333333332,0.09999999999999999,0.0033333333333333335,1009.6666666666666,29.80666666666667,10.0,6.0,3.6666666666666665,6.133333333333333,9.833333333333334
Bulgaria,Europe,SSW,3.4,5.4,48.0,10.0,0.0,0.0,1020.0,30.13,10.0,6.0,1.0,6.9,11.2
Bulgaria,Europe,SW,3.1,5.0,50.0,6.0,0.0,0.0,1019.0,30.1,10.0,6.0,1.0,6.5,10.4
Bulgaria,Europe,W,5.15,8.275,61.5,45.75,0.025,0.0,1016.25,30.012499999999996,10.0,6.0,1.0,11.325000000000001,18.25
Bulgaria,Europe,WNW,2.9,4.7,91.0,65.0,0.0,0.0,1019.0,30.1,10.0,6.0,1.0,4.7,7.6
Bulgaria,Europe,WSW,5.26,8.42,65.0,46.2,0.76,0.030000000000000006,1012.0,29.875999999999998,9.4,5.6,2.4,9.459999999999999,15.260000000000002
