country,continent,temperature_celsius,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,air_quality_condition,human_health_risk,remark
Senegal,Africa,27.35,10.19,16.38,87.33,45.92,1.2,0.05,1012.25,29.89,9.25,5.42,1.42,21.02,33.8,314.18,38.03,1.31,1.37,4.21,10.44,1.0,1.0,80.58,Acceptable,Slight Concern,None
Serbia,Europe,18.17,5.74,9.25,80.83,8.33,0.04,0.0,1016.75,30.02,10.0,6.0,1.33,7.59,12.23,246.72,31.98,9.69,0.89,11.34,14.1,1.17,1.5,80.58,Satisfactory,Low,None
Seychelles Islands,Indian,26.54,14.0,22.54,82.17,51.17,0.3,0.01,1010.5,29.84,10.0,6.0,1.83,27.04,43.53,206.27,51.24,0.21,0.57,4.3,12.16,1.0,1.0,80.58,Satisfactory,Low,None
Sierra Leone,Africa,25.42,7.98,12.81,88.67,72.5,2.1,0.08,1013.67,29.93,9.08,5.33,1.42,11.64,18.72,303.2,26.49,0.77,0.26,3.29,4.87,1.0,1.0,80.58,Acceptable,Slight Concern,None
Singapore,Asia,27.83,4.84,7.76,79.5,72.92,0.26,0.01,1009.5,29.81,9.5,5.58,3.17,13.55,21.82,783.29,12.62,41.03,28.52,16.76,23.44,1.5,1.83,80.58,Unhealthy,Serious,Transboundary Haze
Slovakia,Europe,16.17,4.6,7.38,83.0,10.42,0.06,0.0,1018.0,30.06,10.0,6.0,1.25,10.58,17.05,245.07,37.99,10.91,1.6,7.53,8.86,1.0,1.17,80.58,Satisfactory,Low,None
Slovenia,Europe,14.17,3.92,6.32,94.5,37.5,0.57,0.02,1018.75,30.08,9.5,5.67,1.25,2.82,4.53,254.38,17.44,9.88,0.73,11.87,16.78,1.25,1.5,80.58,Satisfactory,Low,None
Solomon Islands,Pacific,28.52,6.4,10.29,77.08,45.83,0.34,0.01,1011.67,29.87,9.75,5.75,6.08,9.95,16.02,188.45,32.19,1.1,0.78,1.39,1.8,1.0,1.0,80.58,Satisfactory,Low,None
Somalia,Africa,24.85,16.81,27.07,85.58,49.08,0.03,0.0,1012.42,29.9,10.0,6.0,1.83,24.21,38.98,203.76,47.28,0.09,0.27,7.28,19.05,1.0,1.0,80.58,Satisfactory,Low,None
South Africa,Africa,15.0,5.57,8.98,38.42,0.0,0.0,0.0,1026.0,30.3,10.0,6.0,1.33,7.99,12.86,825.29,53.63,18.76,29.74,50.51,68.04,2.67,5.08,80.58,Unhealthy,Serious,Mining Industrial Activities
South Korea,Asia,23.33,3.73,5.98,89.67,45.83,0.11,0.0,1012.0,29.88,9.5,5.58,5.08,4.38,7.05,1064.23,8.43,36.34,28.51,47.09,53.35,2.58,5.67,80.58,Very Unhealthy,Health Alert,Transportation Emissions
Spain,Europe,20.58,3.35,5.38,62.33,22.92,0.29,0.01,1016.92,30.03,9.58,5.58,1.42,11.3,18.18,380.66,36.06,24.09,0.34,6.07,8.43,1.08,1.17,80.58,Acceptable,Slight Concern,None
Sri Lanka,Asia,26.0,8.89,14.29,90.0,52.08,0.76,0.03,1008.83,29.79,9.5,5.5,1.83,18.65,30.03,202.37,28.78,3.18,2.05,2.22,5.21,1.0,1.0,80.58,Satisfactory,Low,None
Sudan,Africa,29.09,11.34,18.25,52.96,30.92,0.06,0.0,1009.33,29.8,9.92,5.92,1.58,16.14,25.98,334.28,24.9,2.08,0.95,14.05,51.18,1.42,1.75,80.58,Acceptable,Slight Concern,None
Suriname,America,27.88,4.5,7.22,77.58,27.5,0.02,0.0,1011.25,29.86,9.58,5.67,1.0,13.36,21.47,300.97,38.35,0.1,0.12,2.61,9.52,1.0,1.0,80.58,Acceptable,Slight Concern,None
Swaziland,Africa,13.28,3.52,5.67,71.75,12.0,0.0,0.0,1022.08,30.18,9.33,5.58,1.33,7.15,11.52,398.31,45.68,2.8,1.75,24.66,30.43,1.92,2.83,80.58,Acceptable,Slight Concern,None
Sweden,Europe,13.58,5.01,8.07,91.67,34.17,0.04,0.0,1014.75,29.97,9.02,5.33,1.33,8.75,14.08,235.45,34.93,8.26,5.03,4.23,5.96,1.0,1.08,80.58,Satisfactory,Low,None
Switzerland,Europe,14.75,2.79,4.53,91.58,29.17,0.0,0.0,1018.42,30.07,9.83,5.83,1.25,5.1,8.19,244.38,18.55,13.07,2.22,14.31,16.12,1.33,1.75,80.58,Satisfactory,Low,None
Syria,Asia,22.5,10.35,16.66,51.08,4.17,0.0,0.0,1011.67,29.87,10.0,6.0,1.58,6.02,9.7,275.38,58.88,8.92,6.91,18.82,37.92,1.67,2.08,80.58,Satisfactory,Low,None
Tajikistan,Asia,19.75,3.53,5.7,52.0,6.25,0.0,0.0,1013.83,29.94,9.25,5.42,2.0,4.32,6.94,202.51,41.64,2.72,3.15,7.13,15.28,1.0,1.0,80.58,Satisfactory,Low,None
Tanzania,Africa,19.55,10.07,16.2,63.58,13.33,0.0,0.0,1015.75,30.0,10.0,6.0,1.42,13.45,21.63,231.01,39.58,0.32,0.18,2.79,4.56,1.0,1.0,80.58,Satisfactory,Low,None
Thailand,Asia,26.96,3.9,6.27,85.96,43.75,0.63,0.02,1006.17,29.72,9.62,5.71,1.92,4.98,8.02,825.71,5.2,9.86,10.95,21.23,36.6,1.67,2.08,80.58,Unhealthy,Serious,Agricultural
Timor-Leste,Asia,22.2,2.5,4.0,62.0,5.0,0.0,0.0,1014.0,29.94,10.0,6.0,6.0,4.3,6.8,267.0,30.0,0.7,0.2,4.0,6.8,1.0,1.0,39.0,Satisfactory,Low,None
Tonga,Pacific,25.08,13.78,22.21,74.92,47.92,0.04,0.0,1018.75,30.08,10.0,6.0,5.17,23.48,37.78,198.32,60.73,0.18,0.52,2.67,9.87,1.0,1.0,80.58,Satisfactory,Low,None
Trinidad and Tobago,America,27.67,5.05,8.12,85.75,25.0,0.07,0.0,1011.67,29.87,10.0,6.0,1.0,12.6,20.27,263.7,18.68,9.16,0.88,1.6,4.08,1.0,1.0,80.58,Satisfactory,Low,None
Tunisia,Africa,24.5,6.21,9.99,72.83,29.17,0.04,0.0,1015.25,29.98,10.0,6.0,1.5,9.63,15.51,245.62,67.22,5.54,2.86,7.98,16.02,1.08,1.17,80.58,Satisfactory,Low,None
Turkey,Europe,21.46,5.1,8.22,68.46,18.75,0.17,0.01,1013.46,29.93,10.0,6.0,1.54,9.11,14.66,273.58,58.4,8.89,4.34,12.21,15.09,1.25,1.5,80.58,Satisfactory,Low,None
Turkmenistan,Asia,23.42,6.37,10.24,41.58,16.67,0.0,0.0,1010.83,29.85,10.0,6.0,2.08,9.76,15.69,251.72,68.82,18.0,12.95,17.99,66.96,1.75,1.92,80.58,Satisfactory,Low,None
Tuvalu,Pacific,30.97,12.6,20.26,84.09,69.45,0.45,0.02,1010.82,29.85,10.0,6.0,5.09,26.56,42.74,177.53,31.23,0.0,0.12,1.82,4.72,1.0,1.0,78.91,Satisfactory,Low,None
Uganda,Africa,20.55,5.14,8.28,86.58,32.83,0.25,0.01,1015.67,29.99,10.0,6.0,1.42,4.7,7.56,505.97,9.2,2.08,0.47,27.59,41.28,1.92,3.17,80.58,Moderate,Concerning,None
Ukraine,Europe,15.33,4.46,7.18,72.58,31.67,0.88,0.04,1018.58,30.08,9.67,5.75,1.5,8.23,13.26,225.72,39.22,4.03,1.12,7.08,8.09,1.0,1.08,80.58,Satisfactory,Low,None
United Arab Emirates,Asia,33.92,4.71,7.56,64.83,6.25,0.0,0.0,1001.42,29.57,9.83,5.83,2.25,15.22,24.51,288.44,144.9,3.98,4.74,47.57,124.4,2.67,5.33,80.58,Satisfactory,Low,None
United Kingdom,Europe,17.17,4.85,7.8,81.83,35.42,0.0,0.0,1016.0,30.0,9.83,5.83,1.33,5.88,9.48,288.73,27.88,25.44,6.08,18.73,22.55,1.5,2.25,80.58,Satisfactory,Low,None
United States of America,America,25.32,7.93,12.78,34.92,12.5,0.0,0.0,1012.67,29.9,16.0,9.0,5.58,7.92,12.73,203.9,88.64,0.85,0.28,3.54,4.01,1.08,1.08,80.58,Satisfactory,Low,None
Uruguay,America,11.75,9.42,15.17,78.42,29.17,0.18,0.01,1017.08,30.03,8.75,5.17,1.0,17.92,28.82,436.72,37.78,11.42,6.82,8.03,12.42,1.08,1.25,80.58,Acceptable,Slight Concern,None
Uzbekistan,Asia,19.75,5.72,9.18,48.17,13.42,0.01,0.0,1012.08,29.89,10.0,6.0,2.08,6.94,11.2,267.58,42.28,17.55,2.12,8.72,18.08,1.08,1.17,80.58,Satisfactory,Low,None
Vanuatu,Pacific,25.64,11.45,18.42,78.92,69.17,0.62,0.02,1015.42,29.98,9.25,5.5,5.0,26.95,43.38,188.31,54.04,0.01,0.63,4.2,13.23,1.0,1.0,80.58,Satisfactory,Low,None
Vatican City,Europe,20.92,4.02,6.44,66.17,10.42,0.08,0.0,1014.67,29.96,9.5,5.67,1.33,10.02,16.12,448.68,23.82,16.48,0.63,12.87,16.26,1.25,1.67,80.58,Acceptable,Slight Concern,None
Venezuela,America,28.67,5.39,8.64,70.92,45.83,0.42,0.02,1011.58,29.87,9.83,5.83,1.0,7.51,12.08,525.99,38.94,30.07,42.22,12.63,14.05,1.33,1.5,80.58,Moderate,Concerning,None
Vietnam,Asia,26.92,4.57,7.35,84.67,22.92,0.12,0.0,1005.58,29.7,8.17,4.75,6.5,11.32,18.21,1137.64,25.13,19.15,7.9,73.13,92.24,3.08,7.08,80.58,Very Unhealthy,Health Alert,Biomass Burning
Yemen,Asia,19.16,4.9,7.9,34.67,22.5,0.02,0.0,1012.33,29.9,9.83,5.83,1.75,8.42,13.55,192.5,68.63,9.93,15.78,32.42,114.18,2.25,3.5,80.58,Satisfactory,Low,None
